timestamp,passenger_count,trip_distance,total_amount,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
1512626400,13246,27326.55999999999,134094.1100000078,,,,,,
1512190800,4205,13015.510000000002,55669.03000000111,,,,,,
1511035200,26764,40080.81999999995,243717.13999996328,,,,,,
1509260400,7388,20436.84000000004,89363.17000000417,,,,,,
1510927200,29304,54464.09999999999,320799.90999994066,,,,,,
1513594800,22891,37216.56999999984,228608.86999997337,,,,,,
1510891200,4473,12382.399999999992,54172.89000000103,,,,,,
1230775200,4,20.69,91.46,,,,,,
1513576800,12246,25290.620000000134,122838.87000000865,,,,,,
1513897200,27926,53111.9300000002,281361.3799999566,,,,,,
1514343600,2368,5367.180000000009,24110.079999999598,,,,,,
1513076400,24538,38736.54999999992,261229.8399999631,,,,,,
1513123200,15127,30222.73,151351.75000000146,,,,,,
1512842400,37177,52306.75999999963,330740.6999999282,,,,,,
1510740000,24212,40605.79999999995,266990.01999996364,,,,,,
1513659600,5035,14389.560000000005,63956.720000002315,,,,,,
1509472800,28889,44244.049999999945,289995.05999995087,,,,,,
1513681200,23852,35642.22999999999,235777.0899999686,,,,,,
1510081200,32666,52701.34000000015,321622.28999994113,,,,,,
1512010800,3027,6904.6600000000035,31363.109999999488,,,,,,
1509231600,33512,55377.009999999646,322575.82999993826,,,,,,
1509865200,7969,20086.82999999997,89085.87000000445,,,,,,
1514678400,17761,33136.840000000164,163416.44999999506,,,,,,
1513735200,5598,11085.97999999999,53341.32000000155,,,,,,
1510196400,3026,6477.559999999995,30430.659999999472,,,,,,
1512345600,7014,16235.329999999987,72907.84000000353,,,,,,
1509332400,1845,4396.339999999998,19219.59999999977,,,,,,
1509591600,2890,6269.349999999993,28343.41999999948,,,,,,
1511629200,27146,46302.98,253316.63999995805,,,,,,
1512835200,28395,41650.42999999998,258454.94999995962,,,,,,
1513321200,24689,44999.15999999997,244061.51999996946,,,,,,
1509868800,11110,21845.510000000075,104254.96000000658,,,,,,
1509523200,28037,44483.3000000001,286441.8099999588,,,,,,
1509411600,5202,10859.19999999997,50953.870000001276,,,,,,
1514505600,14484,28955.7799999999,140324.030000005,,,,,,
1512136800,29591,55156.78000000003,330971.8599999378,,,,,,
1509948000,13655,29947.73999999999,144487.85000000338,,,,,,
1510822800,26521,42357.8499999998,271552.939999961,,,,,,
1510887600,4892,10814.809999999992,50695.980000001146,,,,,,
1514458800,25495,36965.85000000003,216587.03999996986,,,,,,
1509937200,1939,4703.829999999999,21082.919999999747,,,,,,
1519570800,2,1.25,13.56,,,,,,
1509163200,10226,21703.440000000017,100530.75000000652,,,,,,
1513969200,29261,44768.269999999815,270823.4399999537,,,,,,
1510747200,25525,44664.63000000001,289737.4799999571,,,,,,
1510621200,5256,10891.629999999985,52981.46000000156,,,,,,
1512558000,26235,43390.21999999985,284424.8799999556,,,,,,
1512082800,29718,58618.390000000276,308765.29999994877,,,,,,
1510581600,25607,50537.38000000003,280911.3599999565,,,,,,
1510232400,26000,52400.67999999962,311239.8399999504,,,,,,
1514570400,29979,44059.0299999997,275907.0999999487,,,,,,
1513602000,24605,42837.09000000007,246787.5999999657,,,,,,
1510617600,9789,22061.850000000028,103557.4000000058,,,,,,
1514163600,7472,13523.320000000005,64157.54000000336,,,,,,
1509213600,33975,51804.91000000016,310304.0999999367,,,,,,
1511114400,28024,51718.39000000031,279588.2599999561,,,,,,
1510650000,25028,41624.70999999984,264805.99999996606,,,,,,
1511730000,18335,42749.29000000018,203342.549999985,,,,,,
1513839600,22009,37666.059999999874,203794.26999998133,,,,,,
1509807600,30763,51444.310000000114,294625.8099999398,,,,,,
1510837200,25869,48062.380000000165,290558.8599999564,,,,,,
1510588800,24763,48767.60999999981,291670.3499999567,,,,,,
1509973200,23860,49549.63999999998,272893.2899999616,,,,,,
1510444800,29622,48249.050000000076,269869.1699999565,,,,,,
1511496000,2274,5221.260000000001,23233.91999999968,,,,,,
1514124000,22676,35987.259999999886,188354.95999998253,,,,,,
1513180800,24751,44397.900000000125,299442.4199999548,,,,,,
1514300400,26802,43908.15000000007,239253.42999996172,,,,,,
1513429200,34776,50846.049999999865,300692.0299999399,,,,,,
1230724800,1,0.72,8.76,,,,,,
1511596800,9088,18915.730000000043,86920.57000000545,,,,,,
1509606000,23877,41880.230000000265,232428.329999972,,,,,,
1512122400,24747,42811.270000000186,260608.21999996481,,,,,,
1513807200,34713,63896.069999999716,343307.99999993533,,,,,,
1514534400,15122,25298.32000000001,132291.17000001,,,,,,
1513627200,29273,50724.020000000186,276104.55999995803,,,,,,
1509422400,2551,6180.289999999996,27762.15999999958,,,,,,
1510092000,30009,58158.050000000076,309293.59999995085,,,,,,
1509602400,12970,26004.859999999993,128167.6900000092,,,,,,
1510390800,21492,32724.100000000097,182279.10999998712,,,,,,
1510466400,5048,16022.330000000069,68009.27000000211,,,,,,
1517727600,1,17.97,63.36,,,,,,
